x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,value,Timestamp
1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,0.0,-1.570796327,1.570796327,-1.570796327,-1.570796327,0.0,1.570796327,3.141592654,1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,3.141592654,0.0,-1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,0.0,1.570796327,1.570796327,3.141592654,1.570796327,0.0,-1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,3.141592654,1.570796327,0.0,3.141592654,3.141592654,3.141592654,0.0,3.141592654,0.0,0.0,0.0,1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,0.0,1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,0.0,1.570796327,0.0,-1.570796327,3.141592654,3.141592654,1.570796327,0.0,0.0,-1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,1.0,14031.6223863
1.570796327,1.570796327,0.0,-1.570796327,1.570796327,-1.570796327,1.570796327,0.0,-1.570796327,0.0,0.0,0.0,-1.570796327,0.0,0.0,3.141592654,-1.570796327,0.0,3.141592654,-1.570796327,-1.570796327,1.570796327,-1.570796327,0.0,0.0,3.141592654,3.141592654,-1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,0.0,0.0,1.570796327,3.141592654,1.570796327,0.0,1.570796327,-1.570796327,0.0,3.141592654,1.570796327,1.570796327,0.0,0.0,1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,1.570796327,0.0,0.0,-1.570796327,-1.570796327,3.141592654,0.0,1.570796327,3.141592654,0.0,3.141592654,1.570796327,1.570796327,1.570796327,3.141592654,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,0.0,0.0,1.570796327,0.0,0.0,1.0,14163.5723588
0.0,3.141592654,1.570796327,3.141592654,0.0,3.141592654,0.0,0.0,-1.570796327,3.141592654,0.0,3.141592654,1.570796327,0.0,0.0,-1.570796327,3.141592654,1.570796327,0.0,-1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,-1.570796327,0.0,1.570796327,0.0,1.570796327,0.0,1.570796327,0.0,1.570796327,-1.570796327,0.0,1.570796327,0.0,-1.570796327,0.0,3.141592654,1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,-1.570796327,3.141592654,3.141592654,0.0,-1.570796327,0.0,1.570796327,1.570796327,-1.570796327,-1.570796327,0.0,-1.570796327,0.0,0.0,3.141592654,3.141592654,-1.570796327,3.141592654,1.570796327,3.141592654,0.0,3.141592654,-1.570796327,1.0,14296.4134705
0.0,0.0,1.570796327,-1.570796327,0.0,3.141592654,1.570796327,0.0,-1.570796327,0.0,-1.570796327,0.0,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,1.570796327,0.0,3.141592654,1.570796327,-1.570796327,-1.570796327,1.570796327,0.0,-1.570796327,3.141592654,0.0,1.570796327,-1.570796327,0.0,0.0,1.570796327,0.0,3.141592654,-1.570796327,3.141592654,3.141592654,0.0,3.141592654,1.570796327,0.0,3.141592654,0.0,-1.570796327,3.141592654,1.570796327,0.0,1.570796327,3.141592654,1.570796327,3.141592654,0.0,3.141592654,-1.570796327,-1.570796327,3.141592654,3.141592654,0.0,1.570796327,3.141592654,0.0,0.0,-1.570796327,3.141592654,1.570796327,0.0,-1.570796327,3.141592654,1.570796327,0.0,-1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,0.0,3.141592654,0.0,1.570796327,1.0,14429.5247337
-1.570796327,1.570796327,1.570796327,0.0,1.570796327,-1.570796327,-1.570796327,0.0,-1.570796327,0.0,0.0,3.141592654,-1.570796327,3.141592654,1.570796327,3.141592654,0.0,-1.570796327,1.570796327,1.570796327,0.0,1.570796327,0.0,0.0,1.570796327,0.0,0.0,3.141592654,0.0,1.570796327,-1.570796327,1.570796327,0.0,-1.570796327,0.0,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,0.0,1.570796327,0.0,0.0,-1.570796327,0.0,-1.570796327,0.0,1.570796327,-1.570796327,3.141592654,1.570796327,-1.570796327,0.0,3.141592654,3.141592654,3.141592654,-1.570796327,-1.570796327,0.0,0.0,-1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,-1.570796327,-1.570796327,0.0,0.0,0.0,0.0,-1.570796327,3.141592654,0.0,1.570796327,1.570796327,0.0,-1.570796327,0.0,1.0,14564.3999404
3.141592654,0.0,1.570796327,-1.570796327,3.141592654,1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,0.0,0.0,-1.570796327,-1.570796327,0.0,3.141592654,1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,0.0,3.141592654,3.141592654,0.0,-1.570796327,0.0,0.0,1.570796327,3.141592654,0.0,0.0,0.0,1.570796327,-1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,3.141592654,0.0,0.0,-1.570796327,1.570796327,1.570796327,0.0,-1.570796327,1.570796327,1.570796327,-1.570796327,0.0,3.141592654,0.0,3.141592654,0.0,3.141592654,1.570796327,1.570796327,0.0,0.0,0.0,1.570796327,-1.570796327,0.0,1.570796327,0.0,0.0,0.0,-1.570796327,1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,-1.570796327,1.0,14696.7371774
-1.570796327,-1.570796327,0.0,0.0,1.570796327,-1.570796327,0.0,1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,0.0,1.570796327,-1.570796327,0.0,3.141592654,-1.570796327,1.570796327,-1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,-1.570796327,0.0,0.0,3.141592654,1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,3.141592654,1.570796327,1.570796327,0.0,-1.570796327,-1.570796327,-1.570796327,0.0,1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,1.570796327,1.570796327,3.141592654,0.0,-1.570796327,0.0,-1.570796327,0.0,0.0,1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,-1.570796327,3.141592654,1.570796327,3.141592654,1.570796327,0.0,-1.570796327,-1.570796327,1.570796327,0.0,1.570796327,3.141592654,-1.570796327,0.0,3.141592654,-1.570796327,1.0,14829.3493177
3.141592654,0.0,0.0,1.570796327,3.141592654,1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,-1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,0.0,1.570796327,0.0,0.0,-1.570796327,3.141592654,1.570796327,3.141592654,0.0,3.141592654,-1.570796327,0.0,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,-1.570796327,-1.570796327,0.0,3.141592654,0.0,-1.570796327,0.0,1.570796327,-1.570796327,1.570796327,0.0,-1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,0.0,1.570796327,0.0,1.570796327,3.141592654,0.0,3.141592654,3.141592654,0.0,3.141592654,0.0,3.141592654,0.0,1.570796327,1.570796327,3.141592654,0.0,3.141592654,3.141592654,-1.570796327,-1.570796327,1.570796327,-1.570796327,0.0,-1.570796327,1.0,14961.5984882
1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,0.0,3.141592654,0.0,1.570796327,0.0,3.141592654,1.570796327,1.570796327,3.141592654,0.0,-1.570796327,3.141592654,1.570796327,1.570796327,-1.570796327,3.141592654,0.0,3.141592654,0.0,3.141592654,1.570796327,3.141592654,1.570796327,3.141592654,-1.570796327,0.0,3.141592654,-1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,0.0,-1.570796327,1.570796327,0.0,1.570796327,-1.570796327,1.570796327,1.570796327,0.0,3.141592654,1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,3.141592654,0.0,0.0,3.141592654,0.0,0.0,0.0,0.0,-1.570796327,1.570796327,-1.570796327,1.570796327,-1.570796327,0.0,0.0,1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,0.0,0.0,1.0,15093.7671131
1.570796327,-1.570796327,0.0,3.141592654,3.141592654,0.0,1.570796327,3.141592654,1.570796327,0.0,-1.570796327,1.570796327,3.141592654,1.570796327,1.570796327,1.570796327,0.0,-1.570796327,1.570796327,0.0,-1.570796327,-1.570796327,1.570796327,1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,3.141592654,0.0,1.570796327,-1.570796327,0.0,1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,0.0,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,1.570796327,0.0,1.570796327,3.141592654,3.141592654,3.141592654,0.0,0.0,-1.570796327,3.141592654,1.570796327,-1.570796327,0.0,3.141592654,3.141592654,1.570796327,3.141592654,3.141592654,0.0,1.570796327,0.0,0.0,-1.570796327,-1.570796327,-1.570796327,0.0,-1.570796327,3.141592654,-1.570796327,3.141592654,3.141592654,3.141592654,0.0,0.0,1.570796327,1.570796327,1.0,15226.6305401
1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,0.0,-1.570796327,0.0,-1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,1.570796327,0.0,-1.570796327,1.570796327,3.141592654,-1.570796327,-1.570796327,0.0,1.570796327,0.0,0.0,0.0,-1.570796327,0.0,-1.570796327,3.141592654,0.0,-1.570796327,0.0,3.141592654,0.0,0.0,-1.570796327,0.0,0.0,0.0,-1.570796327,3.141592654,0.0,1.570796327,1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,-1.570796327,3.141592654,0.0,-1.570796327,0.0,-1.570796327,-1.570796327,1.570796327,0.0,0.0,3.141592654,1.570796327,-1.570796327,-1.570796327,1.570796327,3.141592654,1.0,15360.1957396
3.141592654,0.0,-1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,0.0,3.141592654,1.570796327,0.0,3.141592654,0.0,3.141592654,1.570796327,-1.570796327,-1.570796327,3.141592654,1.570796327,3.141592654,-1.570796327,0.0,-1.570796327,1.570796327,0.0,0.0,-1.570796327,-1.570796327,1.570796327,1.570796327,0.0,1.570796327,1.570796327,3.141592654,1.570796327,0.0,3.141592654,1.570796327,-1.570796327,-1.570796327,0.0,1.570796327,1.570796327,0.0,-1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,0.0,-1.570796327,-1.570796327,0.0,0.0,-1.570796327,-1.570796327,0.0,3.141592654,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,1.570796327,-1.570796327,-1.570796327,-1.570796327,1.570796327,1.570796327,0.0,-1.570796327,0.0,3.141592654,1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,1.0,15493.4401031
0.0,1.570796327,-1.570796327,0.0,0.0,1.570796327,0.0,0.0,3.141592654,-1.570796327,0.0,-1.570796327,3.141592654,0.0,1.570796327,3.141592654,-1.570796327,1.570796327,0.0,-1.570796327,0.0,-1.570796327,0.0,1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,0.0,0.0,3.141592654,3.141592654,3.141592654,0.0,1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,3.141592654,3.141592654,-1.570796327,1.570796327,3.141592654,3.141592654,1.570796327,-1.570796327,3.141592654,3.141592654,0.0,0.0,3.141592654,1.570796327,-1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,-1.570796327,1.570796327,1.570796327,0.0,3.141592654,0.0,0.0,-1.570796327,-1.570796327,1.570796327,3.141592654,0.0,-1.570796327,1.570796327,1.570796327,0.0,-1.570796327,1.570796327,0.0,1.0,15626.2787846
-1.570796327,-1.570796327,0.0,3.141592654,-1.570796327,1.570796327,0.0,1.570796327,3.141592654,0.0,3.141592654,3.141592654,0.0,3.141592654,-1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,3.141592654,3.141592654,0.0,3.141592654,3.141592654,-1.570796327,-1.570796327,0.0,-1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,3.141592654,-1.570796327,0.0,-1.570796327,3.141592654,-1.570796327,0.0,0.0,-1.570796327,3.141592654,3.141592654,0.0,3.141592654,-1.570796327,1.570796327,1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,-1.570796327,0.0,1.570796327,3.141592654,0.0,0.0,3.141592654,0.0,-1.570796327,3.141592654,-1.570796327,0.0,1.570796327,1.570796327,0.0,3.141592654,-1.570796327,1.570796327,0.0,3.141592654,0.0,-1.570796327,0.0,1.0,15757.5657269
0.0,0.0,-1.570796327,1.570796327,1.570796327,-1.570796327,3.141592654,0.0,1.570796327,1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,3.141592654,-1.570796327,3.141592654,0.0,1.570796327,-1.570796327,1.570796327,3.141592654,1.570796327,0.0,0.0,1.570796327,-1.570796327,0.0,3.141592654,-1.570796327,3.141592654,1.570796327,-1.570796327,1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,-1.570796327,3.141592654,-1.570796327,1.570796327,0.0,0.0,3.141592654,3.141592654,1.570796327,-1.570796327,0.0,3.141592654,-1.570796327,0.0,1.570796327,1.570796327,3.141592654,3.141592654,3.141592654,1.570796327,-1.570796327,1.570796327,0.0,-1.570796327,3.141592654,1.570796327,3.141592654,-1.570796327,0.0,-1.570796327,1.570796327,0.0,3.141592654,1.570796327,1.570796327,3.141592654,0.0,-1.570796327,1.570796327,0.0,3.141592654,0.0,1.0,15889.94046
0.0,1.570796327,-1.570796327,3.141592654,0.0,3.141592654,0.0,0.0,-1.570796327,0.0,0.0,3.141592654,1.570796327,1.570796327,1.570796327,3.141592654,-1.570796327,1.570796327,-1.570796327,1.570796327,0.0,3.141592654,3.141592654,3.141592654,3.141592654,1.570796327,3.141592654,1.570796327,1.570796327,-1.570796327,1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,0.0,-1.570796327,3.141592654,-1.570796327,3.141592654,-1.570796327,1.570796327,1.570796327,3.141592654,-1.570796327,0.0,-1.570796327,3.141592654,1.570796327,1.570796327,0.0,0.0,-1.570796327,1.570796327,-1.570796327,3.141592654,1.570796327,0.0,0.0,-1.570796327,-1.570796327,-1.570796327,3.141592654,-1.570796327,0.0,-1.570796327,3.141592654,-1.570796327,3.141592654,1.570796327,0.0,1.570796327,3.141592654,0.0,3.141592654,3.141592654,0.0,1.570796327,0.0,1.0,16021.3601239
1.570796327,-1.570796327,-1.570796327,-1.570796327,3.141592654,0.0,0.0,1.570796327,1.570796327,0.0,3.141592654,0.0,-1.570796327,-1.570796327,3.141592654,0.0,-1.570796327,1.570796327,0.0,3.141592654,1.570796327,3.141592654,3.141592654,3.141592654,-1.570796327,-1.570796327,1.570796327,1.570796327,-1.570796327,0.0,3.141592654,3.141592654,-1.570796327,3.141592654,1.570796327,-1.570796327,-1.570796327,1.570796327,-1.570796327,3.141592654,0.0,0.0,0.0,1.570796327,-1.570796327,1.570796327,1.570796327,0.0,1.570796327,1.570796327,0.0,0.0,3.141592654,-1.570796327,0.0,1.570796327,0.0,0.0,-1.570796327,3.141592654,-1.570796327,1.570796327,3.141592654,-1.570796327,0.0,3.141592654,3.141592654,3.141592654,1.570796327,1.570796327,1.570796327,3.141592654,0.0,-1.570796327,0.0,3.141592654,0.0,-1.570796327,3.141592654,-1.570796327,1.0,16153.5579313
